memory_match_game/startBtn: exists=False, binding_text_present=True
memory_match_game/settingsBtn: exists=True, binding_text_present=True
memory_match_game/fullscreenBtn: exists=True, binding_text_present=True
true_false_flash_game/startBtn: exists=True, binding_text_present=True
true_false_flash_game/settingsBtn: exists=False, binding_text_present=False
true_false_flash_game/fullscreenBtn: exists=True, binding_text_present=True
sentence_order_game/startBtn: exists=True, binding_text_present=True
sentence_order_game/sampleBtn: exists=True, binding_text_present=True
sentence_order_game/fullscreenBtn: exists=True, binding_text_present=True
treasure_box_game/startBtn: exists=True, binding_text_present=True
lucky_wheel_quiz_game/startBtn: exists=True, binding_text_present=True
lucky_wheel_quiz_game/sampleBtn: exists=True, binding_text_present=True
lucky_wheel_quiz_game/eventSuggest6Btn: exists=True, binding_text_present=True
lucky_wheel_quiz_game/eventSelectAllBtn: exists=True, binding_text_present=True
lucky_wheel_quiz_game/spinBtn: exists=True, binding_text_present=True
tug_spell_game/startBtn: exists=True, binding_text_present=True
tug_spell_game/pauseBtn: exists=True, binding_text_present=True
tug_spell_game/resetBtn: exists=True, binding_text_present=True
tug_spell_game/fullScreenBtn: exists=True, binding_text_present=True
whack_a_mole_quiz_game/startBtn: exists=True, binding_text_present=True
whack_a_mole_quiz_game/sampleBtn: exists=True, binding_text_present=True
